Period,Execution,Deadline,Offset,Jitter,CPU ID,Fixed Start,Name,Function
20000,163,20000,0,0,0,0,ENGINE,engine486_fun
20000,428,20000,0,0,0,None,ELEVATOR,elevator489_fun
20000,13000,20000,1000,0,0,None,AIRCRAFT_DYN,aircraft_dynamics495_fun
40000,189,40000,14000,0,0,None,H_FILTER,h_filter_100446_fun
40000,189,40000,14000,0,0,None,AZ_FILTER,az_filter_100458_fun
40000,194,40000,14000,0,0,None,VZ_FILTER,vz_filter_100455_fun
40000,194,40000,14000,0,0,None,Q_FILTER,q_filter_100455_fun
40000,189,40000,14000,0,0,None,VA_FILTER,Va_filter_100449_fun
80000,158,80000,15000,0,0,None,ALTI_HOLD,altitude_hold_50464_fun
400000,14,400000,1,0,0,None,H_C0,h_c0_fun
80000,433,80000,16000,0,0,None,VZ_CONTROL,vz_control_50483_fun
400000,14,400000,4,0,0,None,VA_C0,Va_c0_fun
80000,506,80000,16000,0,0,None,VA_CONTROL,Va_control_50474_fun
80000,2,80000,17000,0,0,None,DELTA_E_C0,delta_e_c0_fun
80000,2,80000,17000,0,0,None,DELTA_TH_C0,delta_th_c0_fun
20000,2500,20000,9,0,0,None,LOGGING,logging_fun
